="",="count",="mean",="sd",="min",="max"
="age",="191",="36.27225",="11.22869",="18",="69"
="party_id",="191",="-.8638743",="1.798334",="-3",="3"
="employment_id",="191",=".486911",=".5011423",="0",="1"
="race_white",="191",=".6910995",=".4632543",="0",="1"
="income_id",="191",="5.471204",="5.191892",="0",="25"
="relationshipNum",="191",=".2513089",=".4349058",="0",="1"
="educationNum",="191",=".5549738",=".4982748",="0",="1"
="genderNum",="191",=".4031414",=".4918179",="0",="1"
="prosociality",="191",="1.225131",=".6379217",="0",="3"
="gastax",="191",="1.303665",=".9414083",="0",="3"
="carbtax",="191",="1.403141",=".9998898",="0",="3"
="treaty",="191",="2.073684",=".9759433",="0",="3"
="regcarb",="191",="2.273684",=".8390735",="0",="3"
="political_views",="191",="2.121693",="1.532458",="0",="6"
="scientificconfidence",="191",="4.152632",=".6980186",="1",="5"
="rewardconsequence",="191",="1.356021",=".4800799",="1",="2"
="religiosity",="191",="2.041885",="1.195749",="1",="5"
="economic_reasoning",="191",="3.335079",=".7202155",="1",="5"
="attention_check_1pass",="191",=".947644",=".2233294",="0",="1"
="attention_check_2pass",="191",=".973822",=".160084",="0",="1"
